"broadclass"	"type"	"median_1"	"median_2"	"IQR_1"	"IQR_2"	"prestotal_1"	"prestotal_2"	"persamp.pres_1"	"persamp.pres_2"	"padj"
"Biocides"	"Multi-biocide_resistance"	0	0	0	0	299	138	6.22916666666667	3.2093023255814	0
"Drugs"	"Aminoglycosides"	0.000655818223122401	0	0.13980784441114	0.101813988385013	532	389	11.0833333333333	9.04651162790698	0
"Drugs"	"betalactams"	0	0	0	0	346	203	7.20833333333333	4.72093023255814	0
"Drugs"	"Glycopeptides"	0	0	0	0	309	144	6.4375	3.34883720930233	0
"Drugs"	"MLS"	0	0	0.0683160979693072	0	666	418	13.875	9.72093023255814	0
"Drugs"	"Multi-drug_resistance"	0	0	0.0395883749480041	0	431	263	8.97916666666667	6.11627906976744	0
"Drugs"	"Mupirocin"	0.00244205145089287	0	0.0577594506017098	0.016032527687147	99	54	2.0625	1.25581395348837	0.00445454545454545
"Drugs"	"Mycobacterium_tuberculosis-specific_Drug"	0	0	0.0109331799415351	0	77	32	1.60416666666667	0.744186046511628	0
"Drugs"	"Nucleosides"	0	0	0.0340064726886513	0	16	1	0.333333333333333	0.0232558139534884	0
"Drugs"	"Tetracyclines"	0	0	0.0444093492437382	0.00393918154352137	530	378	11.0416666666667	8.7906976744186	0
"Metals"	"Multi-metal_resistance"	0	0	0	0	611	468	12.7291666666667	10.8837209302326	0.0226153846153846
"Metals"	"Tellurium_resistance"	0	0	0	0	14	2	0.291666666666667	0.0465116279069767	0.0163333333333333
"Multi-compound"	"Drug_and_biocide_resistance"	0	0	0.000304380050956765	0	994	656	20.7083333333333	15.2558139534884	0
